"ID";"Landen";"Perioden";"TotaalAsielverzoeken_1"
"169";"L008691";"2015JJ00";"    45.0"
"170";"L008691";"2016JJ00";"    20.9"
"171";"L008709";"2008JJ00";"    12.7"
"172";"L008709";"2009JJ00";"    15.8"
"173";"L008709";"2010JJ00";"    11.0"
"174";"L008709";"2011JJ00";"    14.4"
"175";"L008709";"2012JJ00";"    17.4"
"176";"L008709";"2013JJ00";"    17.5"
"177";"L008709";"2014JJ00";"    28.0"
"178";"L008709";"2015JJ00";"    88.2"
"179";"L008709";"2016JJ00";"    42.3"
"180";"L008718";"2008JJ00";"     8.5"
"181";"L008718";"2009JJ00";"    10.6"
"182";"L008718";"2010JJ00";"     6.5"
"183";"L008718";"2011JJ00";"     6.9"
"184";"L008718";"2012JJ00";"    10.8"
"185";"L008718";"2013JJ00";"    15.2"
"186";"L008718";"2014JJ00";"     8.0"
"187";"L008718";"2015JJ00";"    12.2"
"188";"L008718";"2016JJ00";"    12.3"
"189";"L008719";"2008JJ00";"     0.2"
"190";"L008719";"2009JJ00";"     0.1"
"191";"L008719";"2010JJ00";"     0.2"
"192";"L008719";"2011JJ00";"     0.3"
"193";"L008719";"2012JJ00";"     0.3"
"194";"L008719";"2013JJ00";"     0.5"
"195";"L008719";"2014JJ00";"     0.4"
"196";"L008719";"2015JJ00";"     0.9"
"197";"L008719";"2016JJ00";"     1.5"
"198";"L008723";"2008JJ00";"     1.2"
"199";"L008723";"2009JJ00";"     1.0"
"200";"L008723";"2010JJ00";"     0.9"
"201";"L008723";"2011JJ00";"     1.7"
"202";"L008723";"2012JJ00";"     2.5"
"203";"L008723";"2013JJ00";"     1.5"
"204";"L008723";"2014JJ00";"     1.5"
"205";"L008723";"2015JJ00";"     1.3"
"206";"L008723";"2016JJ00";"     1.9"
"207";"L008744";"2008JJ00";"     0.3"
"208";"L008744";"2009JJ00";"     0.2"
"209";"L008744";"2010JJ00";"     0.2"
"210";"L008744";"2011JJ00";"     0.4"
"211";"L008744";"2012JJ00";"     0.3"
"212";"L008744";"2013JJ00";"     0.3"
"213";"L008744";"2014JJ00";"     0.4"
"214";"L008744";"2015JJ00";"     0.3"
"215";"L008744";"2016JJ00";"     1.3"
"216";"L008745";"2008JJ00";"     0.9"
"217";"L008745";"2009JJ00";"     0.8"
"218";"L008745";"2010JJ00";"     0.5"
"219";"L008745";"2011JJ00";"     0.5"
