"ID";"Geslacht";"LeeftijdOp31December";"Geboorteland";"BurgerlijkeStaat";"Perioden";"Immigratie_1"
"2889847";"T001038";"60100";"G008634";"T001019";"2007JJ00";"      30"
"2889848";"T001038";"60100";"G008634";"T001019";"2008JJ00";"      57"
"2889849";"T001038";"60100";"G008634";"T001019";"2009JJ00";"      74"
"2889850";"T001038";"60100";"G008634";"T001019";"2010JJ00";"     104"
"2889851";"T001038";"60100";"G008634";"T001019";"2011JJ00";"     133"
"2889852";"T001038";"60100";"G008634";"T001019";"2012JJ00";"     101"
"2889853";"T001038";"60100";"G008634";"T001019";"2013JJ00";"     119"
"2889854";"T001038";"60100";"G008634";"T001019";"2014JJ00";"      76"
"2889855";"T001038";"60100";"G008634";"T001019";"2015JJ00";"      68"
"2889856";"T001038";"60100";"G008634";"T001019";"2016JJ00";"     192"
"2889857";"T001038";"60100";"G008634";"T001019";"2017JJ00";"     117"
"2899610";"T001038";"60100";"G008723";"T001019";"1995JJ00";"      29"
"2899611";"T001038";"60100";"G008723";"T001019";"1996JJ00";"      50"
"2899612";"T001038";"60100";"G008723";"T001019";"1997JJ00";"      38"
"2899613";"T001038";"60100";"G008723";"T001019";"1998JJ00";"      45"
"2899614";"T001038";"60100";"G008723";"T001019";"1999JJ00";"      56"
"2899615";"T001038";"60100";"G008723";"T001019";"2000JJ00";"      67"
"2899616";"T001038";"60100";"G008723";"T001019";"2001JJ00";"      33"
"2899617";"T001038";"60100";"G008723";"T001019";"2002JJ00";"      24"
"2899618";"T001038";"60100";"G008723";"T001019";"2003JJ00";"      43"
"2899619";"T001038";"60100";"G008723";"T001019";"2004JJ00";"      27"
"2899620";"T001038";"60100";"G008723";"T001019";"2005JJ00";"      24"
"2899621";"T001038";"60100";"G008723";"T001019";"2006JJ00";"      33"
"2899622";"T001038";"60100";"G008723";"T001019";"2007JJ00";"     117"
"2899623";"T001038";"60100";"G008723";"T001019";"2008JJ00";"      97"
"2899624";"T001038";"60100";"G008723";"T001019";"2009JJ00";"      95"
"2899625";"T001038";"60100";"G008723";"T001019";"2010JJ00";"     117"
"2899626";"T001038";"60100";"G008723";"T001019";"2011JJ00";"     146"
"2899627";"T001038";"60100";"G008723";"T001019";"2012JJ00";"     107"
"2899628";"T001038";"60100";"G008723";"T001019";"2013JJ00";"     129"
"2899629";"T001038";"60100";"G008723";"T001019";"2014JJ00";"     189"
"2899630";"T001038";"60100";"G008723";"T001019";"2015JJ00";"     162"
"2899631";"T001038";"60100";"G008723";"T001019";"2016JJ00";"     183"
"2899632";"T001038";"60100";"G008723";"T001019";"2017JJ00";"     231"
"2902255";"T001038";"60100";"G008746";"T001019";"1995JJ00";"       9"
"2902256";"T001038";"60100";"G008746";"T001019";"1996JJ00";"      29"
"2902257";"T001038";"60100";"G008746";"T001019";"1997JJ00";"      52"
"2902258";"T001038";"60100";"G008746";"T001019";"1998JJ00";"      92"
"2902259";"T001038";"60100";"G008746";"T001019";"1999JJ00";"      78"
"2902260";"T001038";"60100";"G008746";"T001019";"2000JJ00";"     112"
"2902261";"T001038";"60100";"G008746";"T001019";"2001JJ00";"     135"
"2902262";"T001038";"60100";"G008746";"T001019";"2002JJ00";"      65"
"2902263";"T001038";"60100";"G008746";"T001019";"2003JJ00";"      38"
"2902264";"T001038";"60100";"G008746";"T001019";"2004JJ00";"      19"
"2902265";"T001038";"60100";"G008746";"T001019";"2005JJ00";"      20"
"2902266";"T001038";"60100";"G008746";"T001019";"2006JJ00";"      12"
"2902267";"T001038";"60100";"G008746";"T001019";"2007JJ00";"      17"
"2902268";"T001038";"60100";"G008746";"T001019";"2008JJ00";"      16"
"2902269";"T001038";"60100";"G008746";"T001019";"2009JJ00";"      17"
"2902270";"T001038";"60100";"G008746";"T001019";"2010JJ00";"      24"
"2902271";"T001038";"60100";"G008746";"T001019";"2011JJ00";"      50"
"2902272";"T001038";"60100";"G008746";"T001019";"2012JJ00";"      33"
"2902273";"T001038";"60100";"G008746";"T001019";"2013JJ00";"      39"
"2902274";"T001038";"60100";"G008746";"T001019";"2014JJ00";"      80"
"2902275";"T001038";"60100";"G008746";"T001019";"2015JJ00";"      66"
"2902276";"T001038";"60100";"G008746";"T001019";"2016JJ00";"      78"
"2902277";"T001038";"60100";"G008746";"T001019";"2017JJ00";"     113"
"2903175";"T001038";"60100";"G008753";"T001019";"1995JJ00";"      44"
"2903176";"T001038";"60100";"G008753";"T001019";"1996JJ00";"      64"
"2903177";"T001038";"60100";"G008753";"T001019";"1997JJ00";"      49"
"2903178";"T001038";"60100";"G008753";"T001019";"1998JJ00";"      40"
"2903179";"T001038";"60100";"G008753";"T001019";"1999JJ00";"     104"
"2903180";"T001038";"60100";"G008753";"T001019";"2000JJ00";"     149"
"2903181";"T001038";"60100";"G008753";"T001019";"2001JJ00";"     178"
"2903182";"T001038";"60100";"G008753";"T001019";"2002JJ00";"      80"
"2903183";"T001038";"60100";"G008753";"T001019";"2003JJ00";"      53"
"2903184";"T001038";"60100";"G008753";"T001019";"2004JJ00";"      22"
"2903185";"T001038";"60100";"G008753";"T001019";"2005JJ00";"      25"
"2903186";"T001038";"60100";"G008753";"T001019";"2006JJ00";"      17"
"2903187";"T001038";"60100";"G008753";"T001019";"2007JJ00";"      15"
"2903188";"T001038";"60100";"G008753";"T001019";"2008JJ00";"      19"
"2903189";"T001038";"60100";"G008753";"T001019";"2009JJ00";"      21"
