"ID";"Nationaliteit";"Perioden";"TotaalAsielverzoekenEnNareizigers_1"
"250";"NAT9280  ";"2005JJ00";"      55"
"251";"NAT9280  ";"2006JJ00";"      55"
"252";"NAT9280  ";"2007JJ00";"      45"
"253";"NAT9280  ";"2008JJ00";"      25"
"254";"NAT9280  ";"2009JJ00";"      40"
"255";"NAT9280  ";"2010JJ00";"      30"
"256";"NAT9280  ";"2011JJ00";"      15"
"257";"NAT9280  ";"2012JJ00";"      35"
"258";"NAT9280  ";"2013JJ00";"      40"
"259";"NAT9280  ";"2014JJ00";"      20"
"260";"NAT9280  ";"2015JJ00";"      55"
"261";"NAT9280  ";"2016JJ00";"     990"
"262";"NAT9280  ";"2017JJ00";"     925"
"263";"NAT9280  ";"2018JJ00";"    1335"
"264";"NAT9283  ";"1975JJ00";"       ."
"265";"NAT9283  ";"1976JJ00";"       ."
"266";"NAT9283  ";"1977JJ00";"       ."
"267";"NAT9283  ";"1978JJ00";"       ."
"268";"NAT9283  ";"1979JJ00";"       ."
"269";"NAT9283  ";"1980JJ00";"       ."
"270";"NAT9283  ";"1981JJ00";"       ."
"271";"NAT9283  ";"1982JJ00";"       ."
"272";"NAT9283  ";"1983JJ00";"       ."
"273";"NAT9283  ";"1984JJ00";"       ."
"274";"NAT9283  ";"1985JJ00";"      10"
"275";"NAT9283  ";"1986JJ00";"      30"
"276";"NAT9283  ";"1987JJ00";"     290"
"277";"NAT9283  ";"1988JJ00";"      75"
"278";"NAT9283  ";"1989JJ00";"     205"
"279";"NAT9283  ";"1990JJ00";"     260"
"280";"NAT9283  ";"1991JJ00";"     160"
"281";"NAT9283  ";"1992JJ00";"     120"
"282";"NAT9283  ";"1993JJ00";"     540"
"283";"NAT9283  ";"1994JJ00";"    1375"
"284";"NAT9283  ";"1995JJ00";"     740"
"285";"NAT9283  ";"1996JJ00";"     420"
"286";"NAT9283  ";"1997JJ00";"     375"
"287";"NAT9283  ";"1998JJ00";"     610"
"288";"NAT9283  ";"1999JJ00";"    1585"
"289";"NAT9283  ";"2000JJ00";"    2180"
"290";"NAT9283  ";"2001JJ00";"    4115"
"291";"NAT9283  ";"2002JJ00";"    1895"
"292";"NAT9283  ";"2003JJ00";"     370"
"293";"NAT9283  ";"2004JJ00";"     175"
"294";"NAT9283  ";"2005JJ00";"     220"
"295";"NAT9283  ";"2006JJ00";"     210"
"296";"NAT9283  ";"2007JJ00";"      80"
"297";"NAT9283  ";"2008JJ00";"      75"
"298";"NAT9283  ";"2009JJ00";"      60"
"299";"NAT9283  ";"2010JJ00";"      50"
"300";"NAT9283  ";"2011JJ00";"      25"
"301";"NAT9283  ";"2012JJ00";"      15"
"302";"NAT9283  ";"2013JJ00";"      20"
"303";"NAT9283  ";"2014JJ00";"      10"
"304";"NAT9283  ";"2015JJ00";"      15"
"305";"NAT9283  ";"2016JJ00";"      15"
"306";"NAT9283  ";"2017JJ00";"      30"
"307";"NAT9283  ";"2018JJ00";"      35"
"308";"NAT9286  ";"1975JJ00";"       ."
"309";"NAT9286  ";"1976JJ00";"       ."
"310";"NAT9286  ";"1977JJ00";"       ."
"311";"NAT9286  ";"1978JJ00";"       ."
"312";"NAT9286  ";"1979JJ00";"       ."
"313";"NAT9286  ";"1980JJ00";"       ."
"314";"NAT9286  ";"1981JJ00";"       ."
"315";"NAT9286  ";"1982JJ00";"       ."
"316";"NAT9286  ";"1983JJ00";"       ."
"317";"NAT9286  ";"1984JJ00";"       ."
"318";"NAT9286  ";"1985JJ00";"       ."
"319";"NAT9286  ";"1986JJ00";"       ."
"320";"NAT9286  ";"1987JJ00";"       ."
"321";"NAT9286  ";"1988JJ00";"       ."
"322";"NAT9286  ";"1989JJ00";"       ."
"323";"NAT9286  ";"1990JJ00";"       ."
"324";"NAT9286  ";"1991JJ00";"       ."
"325";"NAT9286  ";"1992JJ00";"      40"
"326";"NAT9286  ";"1993JJ00";"     350"
"327";"NAT9286  ";"1994JJ00";"    1080"
"328";"NAT9286  ";"1995JJ00";"     360"
"329";"NAT9286  ";"1996JJ00";"     365"
"330";"NAT9286  ";"1997JJ00";"     430"
"331";"NAT9286  ";"1998JJ00";"     710"
"332";"NAT9286  ";"1999JJ00";"    1250"
"333";"NAT9286  ";"2000JJ00";"     805"
"334";"NAT9286  ";"2001JJ00";"     525"
"335";"NAT9286  ";"2002JJ00";"     420"
"336";"NAT9286  ";"2003JJ00";"     200"
"337";"NAT9286  ";"2004JJ00";"     245"
"338";"NAT9286  ";"2005JJ00";"     195"
"339";"NAT9286  ";"2006JJ00";"     280"
"340";"NAT9286  ";"2007JJ00";"     155"
"341";"NAT9286  ";"2008JJ00";"     240"
"342";"NAT9286  ";"2009JJ00";"     370"
"343";"NAT9286  ";"2010JJ00";"     650"
"344";"NAT9286  ";"2011JJ00";"     580"
"345";"NAT9286  ";"2012JJ00";"     315"
"346";"NAT9286  ";"2013JJ00";"     265"
"347";"NAT9286  ";"2014JJ00";"     210"
"348";"NAT9286  ";"2015JJ00";"     115"
"349";"NAT9286  ";"2016JJ00";"     100"
"350";"NAT9286  ";"2017JJ00";"     190"
"351";"NAT9286  ";"2018JJ00";"     100"
"352";"NAT9288  ";"1975JJ00";"       ."
"353";"NAT9288  ";"1976JJ00";"       ."
"354";"NAT9288  ";"1977JJ00";"       ."
"355";"NAT9288  ";"1978JJ00";"       ."
"356";"NAT9288  ";"1979JJ00";"       ."
"357";"NAT9288  ";"1980JJ00";"       ."
"358";"NAT9288  ";"1981JJ00";"       ."
"359";"NAT9288  ";"1982JJ00";"       ."
"360";"NAT9288  ";"1983JJ00";"       ."
"361";"NAT9288  ";"1984JJ00";"       ."
"362";"NAT9288  ";"1985JJ00";"       ."
"363";"NAT9288  ";"1986JJ00";"       ."
"364";"NAT9288  ";"1987JJ00";"       ."
"365";"NAT9288  ";"1988JJ00";"       ."
"366";"NAT9288  ";"1989JJ00";"       ."
"367";"NAT9288  ";"1990JJ00";"       ."
"368";"NAT9288  ";"1991JJ00";"       ."
"369";"NAT9288  ";"1992JJ00";"      10"
"370";"NAT9288  ";"1993JJ00";"      25"
"371";"NAT9288  ";"1994JJ00";"     105"
"372";"NAT9288  ";"1995JJ00";"     130"
"373";"NAT9288  ";"1996JJ00";"     185"
"374";"NAT9288  ";"1997JJ00";"     315"
"375";"NAT9288  ";"1998JJ00";"    1265"
"376";"NAT9288  ";"1999JJ00";"    2450"
"377";"NAT9288  ";"2000JJ00";"    1155"
"378";"NAT9288  ";"2001JJ00";"     635"
"379";"NAT9288  ";"2002JJ00";"     340"
"380";"NAT9288  ";"2003JJ00";"     280"
"381";"NAT9288  ";"2004JJ00";"     250"
"382";"NAT9288  ";"2005JJ00";"     285"
"383";"NAT9288  ";"2006JJ00";"     385"
"384";"NAT9288  ";"2007JJ00";"      80"
"385";"NAT9288  ";"2008JJ00";"     110"
"386";"NAT9288  ";"2009JJ00";"     140"
"387";"NAT9288  ";"2010JJ00";"     105"
"388";"NAT9288  ";"2011JJ00";"     150"
"389";"NAT9288  ";"2012JJ00";"     100"
