"ID";"Geslacht";"LeeftijdOp31December";"Geboorteland";"BurgerlijkeStaat";"Perioden";"Immigratie_1"
"3275556";"3000   ";"10000";"G008634";"T001019";"2006JJ00";"     371"
"3275557";"3000   ";"10000";"G008634";"T001019";"2007JJ00";"     451"
"3275558";"3000   ";"10000";"G008634";"T001019";"2008JJ00";"     550"
"3275559";"3000   ";"10000";"G008634";"T001019";"2009JJ00";"     700"
"3275560";"3000   ";"10000";"G008634";"T001019";"2010JJ00";"     810"
"3275561";"3000   ";"10000";"G008634";"T001019";"2011JJ00";"    1003"
"3275562";"3000   ";"10000";"G008634";"T001019";"2012JJ00";"     815"
"3275563";"3000   ";"10000";"G008634";"T001019";"2013JJ00";"     812"
"3275564";"3000   ";"10000";"G008634";"T001019";"2014JJ00";"     615"
"3275565";"3000   ";"10000";"G008634";"T001019";"2015JJ00";"     620"
"3275566";"3000   ";"10000";"G008634";"T001019";"2016JJ00";"    1666"
"3275567";"3000   ";"10000";"G008634";"T001019";"2017JJ00";"    1038"
"3285320";"3000   ";"10000";"G008723";"T001019";"1995JJ00";"     149"
"3285321";"3000   ";"10000";"G008723";"T001019";"1996JJ00";"     131"
"3285322";"3000   ";"10000";"G008723";"T001019";"1997JJ00";"     152"
"3285323";"3000   ";"10000";"G008723";"T001019";"1998JJ00";"     189"
"3285324";"3000   ";"10000";"G008723";"T001019";"1999JJ00";"     172"
"3285325";"3000   ";"10000";"G008723";"T001019";"2000JJ00";"     258"
"3285326";"3000   ";"10000";"G008723";"T001019";"2001JJ00";"     295"
"3285327";"3000   ";"10000";"G008723";"T001019";"2002JJ00";"     239"
"3285328";"3000   ";"10000";"G008723";"T001019";"2003JJ00";"     236"
"3285329";"3000   ";"10000";"G008723";"T001019";"2004JJ00";"     252"
"3285330";"3000   ";"10000";"G008723";"T001019";"2005JJ00";"     176"
"3285331";"3000   ";"10000";"G008723";"T001019";"2006JJ00";"     378"
"3285332";"3000   ";"10000";"G008723";"T001019";"2007JJ00";"     932"
"3285333";"3000   ";"10000";"G008723";"T001019";"2008JJ00";"    1133"
"3285334";"3000   ";"10000";"G008723";"T001019";"2009JJ00";"     998"
"3285335";"3000   ";"10000";"G008723";"T001019";"2010JJ00";"    1169"
"3285336";"3000   ";"10000";"G008723";"T001019";"2011JJ00";"    1244"
"3285337";"3000   ";"10000";"G008723";"T001019";"2012JJ00";"    1141"
"3285338";"3000   ";"10000";"G008723";"T001019";"2013JJ00";"    1204"
"3285339";"3000   ";"10000";"G008723";"T001019";"2014JJ00";"    2468"
"3285340";"3000   ";"10000";"G008723";"T001019";"2015JJ00";"    2287"
"3285341";"3000   ";"10000";"G008723";"T001019";"2016JJ00";"    2706"
"3285342";"3000   ";"10000";"G008723";"T001019";"2017JJ00";"    4093"
"3287965";"3000   ";"10000";"G008746";"T001019";"1995JJ00";"     166"
"3287966";"3000   ";"10000";"G008746";"T001019";"1996JJ00";"     235"
"3287967";"3000   ";"10000";"G008746";"T001019";"1997JJ00";"     538"
"3287968";"3000   ";"10000";"G008746";"T001019";"1998JJ00";"     761"
"3287969";"3000   ";"10000";"G008746";"T001019";"1999JJ00";"     577"
"3287970";"3000   ";"10000";"G008746";"T001019";"2000JJ00";"    1134"
"3287971";"3000   ";"10000";"G008746";"T001019";"2001JJ00";"    1004"
"3287972";"3000   ";"10000";"G008746";"T001019";"2002JJ00";"     541"
"3287973";"3000   ";"10000";"G008746";"T001019";"2003JJ00";"     246"
"3287974";"3000   ";"10000";"G008746";"T001019";"2004JJ00";"      88"
